Date,Gini index of income inequality,10th percentile limit,20th percentile limit,30th percentile limit,40th percentile limit,50th (median),60th percentile limit,70th percentile limit,80th percentile limit,90th percentile limit,95th percentile limit,90th/10th,80th/20th,Per capita GDP,Life expectancy,unemployment rate %,Anchored SPM Poverty Rate (2012) with Taxes and Transfers,Historical SPM Poverty Rate with taxes and transfers,abs_mob_pos_par_p10,abs_mob_pos_par_p50,abs_mob_pos_par_p90
1/1/1948,,,,,,,,,,,,,,,,3.4,,,0.89,0.849,0.688
2/1/1948,,,,,,,,,,,,,,,,3.8,,,,,
3/1/1948,,,,,,,,,,,,,,,,4,,,,,
4/1/1948,,,,,,,,,,,,,,,,3.9,,,,,
5/1/1948,,,,,,,,,,,,,,,,3.5,,,,,
6/1/1948,,,,,,,,,,,,,,,,3.6,,,,,
7/1/1948,,,,,,,,,,,,,,,,3.6,,,,,
8/1/1948,,,,,,,,,,,,,,,,3.9,,,,,
9/1/1948,,,,,,,,,,,,,,,,3.8,,,,,
10/1/1948,,,,,,,,,,,,,,,,3.7,,,,,
11/1/1948,,,,,,,,,,,,,,,,3.8,,,,,
12/1/1948,,,,,,,,,,,,,,,,4,,,,,
1/1/1949,,,,,,,,,,,,,,,,4.3,,,0.874,0.816,0.671
2/1/1949,,,,,,,,,,,,,,,,4.7,,,,,
3/1/1949,,,,,,,,,,,,,,,,5,,,,,
4/1/1949,,,,,,,,,,,,,,,,5.3,,,,,
5/1/1949,,,,,,,,,,,,,,,,6.1,,,,,
6/1/1949,,,,,,,,,,,,,,,,6.2,,,,,
7/1/1949,,,,,,,,,,,,,,,,6.7,,,,,
8/1/1949,,,,,,,,,,,,,,,,6.8,,,,,
9/1/1949,,,,,,,,,,,,,,,,6.6,,,,,
10/1/1949,,,,,,,,,,,,,,,,7.9,,,,,
11/1/1949,,,,,,,,,,,,,,,,6.4,,,,,
12/1/1949,,,,,,,,,,,,,,,,6.6,,,,,
1/1/1950,,,,,,,,,,,,,,,,6.5,,,0.877,0.812,0.648
2/1/1950,,,,,,,,,,,,,,,,6.4,,,,,
3/1/1950,,,,,,,,,,,,,,,,6.3,,,,,
4/1/1950,,,,,,,,,,,,,,,,5.8,,,,,
5/1/1950,,,,,,,,,,,,,,,,5.5,,,,,
6/1/1950,,,,,,,,,,,,,,,,5.4,,,,,
7/1/1950,,,,,,,,,,,,,,,,5,,,,,
8/1/1950,,,,,,,,,,,,,,,,4.5,,,,,
9/1/1950,,,,,,,,,,,,,,,,4.4,,,,,
10/1/1950,,,,,,,,,,,,,,,,4.2,,,,,
11/1/1950,,,,,,,,,,,,,,,,4.2,,,,,
12/1/1950,,,,,,,,,,,,,,,,4.3,,,,,
1/1/1951,,,,,,,,,,,,,,,,3.7,,,0.878,0.804,0.639
2/1/1951,,,,,,,,,,,,,,,,3.4,,,,,
3/1/1951,,,,,,,,,,,,,,,,3.4,,,,,
4/1/1951,,,,,,,,,,,,,,,,3.1,,,,,
5/1/1951,,,,,,,,,,,,,,,,3,,,,,
6/1/1951,,,,,,,,,,,,,,,,3.2,,,,,
7/1/1951,,,,,,,,,,,,,,,,3.1,,,,,
8/1/1951,,,,,,,,,,,,,,,,3.1,,,,,
9/1/1951,,,,,,,,,,,,,,,,3.3,,,,,
10/1/1951,,,,,,,,,,,,,,,,3.5,,,,,
11/1/1951,,,,,,,,,,,,,,,,3.5,,,,,
12/1/1951,,,,,,,,,,,,,,,,3.1,,,,,
1/1/1952,,,,,,,,,,,,,,,,3.2,,,0.859,0.757,0.581
2/1/1952,,,,,,,,,,,,,,,,3.1,,,,,
3/1/1952,,,,,,,,,,,,,,,,2.9,,,,,
4/1/1952,,,,,,,,,,,,,,,,2.9,,,,,
5/1/1952,,,,,,,,,,,,,,,,3,,,,,
6/1/1952,,,,,,,,,,,,,,,,3,,,,,
7/1/1952,,,,,,,,,,,,,,,,3.2,,,,,
8/1/1952,,,,,,,,,,,,,,,,3.4,,,,,
9/1/1952,,,,,,,,,,,,,,,,3.1,,,,,
10/1/1952,,,,,,,,,,,,,,,,3,,,,,
11/1/1952,,,,,,,,,,,,,,,,2.8,,,,,
12/1/1952,,,,,,,,,,,,,,,,2.7,,,,,
1/1/1953,,,,,,,,,,,,,,,,2.9,,,0.846,0.713,0.543
2/1/1953,,,,,,,,,,,,,,,,2.6,,,,,
3/1/1953,,,,,,,,,,,,,,,,2.6,,,,,
4/1/1953,,,,,,,,,,,,,,,,2.7,,,,,
5/1/1953,,,,,,,,,,,,,,,,2.5,,,,,
6/1/1953,,,,,,,,,,,,,,,,2.5,,,,,
7/1/1953,,,,,,,,,,,,,,,,2.6,,,,,
8/1/1953,,,,,,,,,,,,,,,,2.7,,,,,
9/1/1953,,,,,,,,,,,,,,,,2.9,,,,,
10/1/1953,,,,,,,,,,,,,,,,3.1,,,,,
11/1/1953,,,,,,,,,,,,,,,,3.5,,,,,
12/1/1953,,,,,,,,,,,,,,,,4.5,,,,,
1/1/1954,,,,,,,,,,,,,,,,4.9,,,0.818,0.676,0.518
2/1/1954,,,,,,,,,,,,,,,,5.2,,,,,
3/1/1954,,,,,,,,,,,,,,,,5.7,,,,,
4/1/1954,,,,,,,,,,,,,,,,5.9,,,,,
5/1/1954,,,,,,,,,,,,,,,,5.9,,,,,
6/1/1954,,,,,,,,,,,,,,,,5.6,,,,,
7/1/1954,,,,,,,,,,,,,,,,5.8,,,,,
8/1/1954,,,,,,,,,,,,,,,,6,,,,,
9/1/1954,,,,,,,,,,,,,,,,6.1,,,,,
10/1/1954,,,,,,,,,,,,,,,,5.7,,,,,
11/1/1954,,,,,,,,,,,,,,,,5.3,,,,,
12/1/1954,,,,,,,,,,,,,,,,5,,,,,
1/1/1955,,,,,,,,,,,,,,,,4.9,,,0.836,0.697,0.541
2/1/1955,,,,,,,,,,,,,,,,4.7,,,,,
3/1/1955,,,,,,,,,,,,,,,,4.6,,,,,
4/1/1955,,,,,,,,,,,,,,,,4.7,,,,,
5/1/1955,,,,,,,,,,,,,,,,4.3,,,,,
6/1/1955,,,,,,,,,,,,,,,,4.2,,,,,
7/1/1955,,,,,,,,,,,,,,,,4,,,,,
8/1/1955,,,,,,,,,,,,,,,,4.2,,,,,
9/1/1955,,,,,,,,,,,,,,,,4.1,,,,,
10/1/1955,,,,,,,,,,,,,,,,4.3,,,,,
11/1/1955,,,,,,,,,,,,,,,,4.2,,,,,
12/1/1955,,,,,,,,,,,,,,,,4.2,,,,,
1/1/1956,,,,,,,,,,,,,,,,4,,,0.816,0.675,0.525
2/1/1956,,,,,,,,,,,,,,,,3.9,,,,,
3/1/1956,,,,,,,,,,,,,,,,4.2,,,,,
4/1/1956,,,,,,,,,,,,,,,,4,,,,,
5/1/1956,,,,,,,,,,,,,,,,4.3,,,,,
6/1/1956,,,,,,,,,,,,,,,,4.3,,,,,
7/1/1956,,,,,,,,,,,,,,,,4.4,,,,,
8/1/1956,,,,,,,,,,,,,,,,4.1,,,,,
9/1/1956,,,,,,,,,,,,,,,,3.9,,,,,
10/1/1956,,,,,,,,,,,,,,,,3.9,,,,,
11/1/1956,,,,,,,,,,,,,,,,4.3,,,,,
12/1/1956,,,,,,,,,,,,,,,,4.2,,,,,
1/1/1957,,,,,,,,,,,,,,,,4.2,,,0.791,0.683,0.522
2/1/1957,,,,,,,,,,,,,,,,3.9,,,,,
3/1/1957,,,,,,,,,,,,,,,,3.7,,,,,
4/1/1957,,,,,,,,,,,,,,,,3.9,,,,,
5/1/1957,,,,,,,,,,,,,,,,4.1,,,,,
6/1/1957,,,,,,,,,,,,,,,,4.3,,,,,
7/1/1957,,,,,,,,,,,,,,,,4.2,,,,,
8/1/1957,,,,,,,,,,,,,,,,4.1,,,,,
9/1/1957,,,,,,,,,,,,,,,,4.4,,,,,
10/1/1957,,,,,,,,,,,,,,,,4.5,,,,,
11/1/1957,,,,,,,,,,,,,,,,5.1,,,,,
12/1/1957,,,,,,,,,,,,,,,,5.2,,,,,
1/1/1958,,,,,,,,,,,,,,,,5.8,,,0.795,0.678,0.528
2/1/1958,,,,,,,,,,,,,,,,6.4,,,,,
3/1/1958,,,,,,,,,,,,,,,,6.7,,,,,
4/1/1958,,,,,,,,,,,,,,,,7.4,,,,,
5/1/1958,,,,,,,,,,,,,,,,7.4,,,,,
6/1/1958,,,,,,,,,,,,,,,,7.3,,,,,
7/1/1958,,,,,,,,,,,,,,,,7.5,,,,,
8/1/1958,,,,,,,,,,,,,,,,7.4,,,,,
9/1/1958,,,,,,,,,,,,,,,,7.1,,,,,
10/1/1958,,,,,,,,,,,,,,,,6.7,,,,,
11/1/1958,,,,,,,,,,,,,,,,6.2,,,,,
12/1/1958,,,,,,,,,,,,,,,,6.2,,,,,
1/1/1959,,,,,,,,,,,,,,12440,,6,,,0.782,0.672,0.492
2/1/1959,,,,,,,,,,,,,,12462,,5.9,,,,,
3/1/1959,,,,,,,,,,,,,,12517,,5.6,,,,,
4/1/1959,,,,,,,,,,,,,,12581,,5.2,,,,,
5/1/1959,,,,,,,,,,,,,,12634,,5.1,,,,,
6/1/1959,,,,,,,,,,,,,,12660,,5,,,,,
7/1/1959,,,,,,,,,,,,,,12622,,5.1,,,,,
8/1/1959,,,,,,,,,,,,,,12528,,5.2,,,,,
9/1/1959,,,,,,,,,,,,,,12514,,5.5,,,,,
10/1/1959,,,,,,,,,,,,,,12504,,5.7,,,,,
11/1/1959,,,,,,,,,,,,,,12577,,5.8,,,,,
12/1/1959,,,,,,,,,,,,,,12683,,5.3,,,,,
1/1/1960,,,,,,,,,,,,,,12680,69.77073171,5.2,,,0.774,0.624,0.433
2/1/1960,,,,,,,,,,,,,,12654,,4.8,,,,,
3/1/1960,,,,,,,,,,,,,,12642,,5.4,,,,,
4/1/1960,,,,,,,,,,,,,,12665,,5.2,,,,,
5/1/1960,,,,,,,,,,,,,,12669,,5.1,,,,,
6/1/1960,,,,,,,,,,,,,,12658,,5.4,,,,,
7/1/1960,,,,,,,,,,,,,,12658,,5.5,,,,,
8/1/1960,,,,,,,,,,,,,,12609,,5.6,,,,,
9/1/1960,,,,,,,,,,,,,,12609,,5.5,,,,,
10/1/1960,,,,,,,,,,,,,,12639,,6.1,,,,,
11/1/1960,,,,,,,,,,,,,,12571,,6.1,,,,,
12/1/1960,,,,,,,,,,,,,,12501,,6.6,,,,,
1/1/1961,,,,,,,,,,,,,,12609,70.27073171,6.6,,,0.764,0.592,0.418
2/1/1961,,,,,,,,,,,,,,12646,,6.9,,,,,
3/1/1961,,,,,,,,,,,,,,12683,,6.9,,,,,
4/1/1961,,,,,,,,,,,,,,12693,,7,,,,,
5/1/1961,,,,,,,,,,,,,,12780,,7.1,,,,,
6/1/1961,,,,,,,,,,,,,,12895,,6.9,,,,,
7/1/1961,,,,,,,,,,,,,,12921,,7,,,,,
8/1/1961,,,,,,,,,,,,,,12902,,6.6,,,,,
9/1/1961,,,,,,,,,,,,,,12894,,6.7,,,,,
10/1/1961,,,,,,,,,,,,,,13011,,6.5,,,,,
11/1/1961,,,,,,,,,,,,,,13114,,6.1,,,,,
12/1/1961,,,,,,,,,,,,,,13177,,6,,,,,
1/1/1962,,,,,,,,,,,,,,13129,70.1195122,5.8,,,0.762,0.573,0.384
2/1/1962,,,,,,,,,,,,,,13174,,5.5,,,,,
3/1/1962,,,,,,,,,,,,,,13246,,5.6,,,,,
4/1/1962,,,,,,,,,,,,,,13289,,5.6,,,,,
5/1/1962,,,,,,,,,,,,,,13281,,5.5,,,,,
6/1/1962,,,,,,,,,,,,,,13267,,5.5,,,,,
7/1/1962,,,,,,,,,,,,,,13308,,5.4,,,,,
8/1/1962,,,,,,,,,,,,,,13302,,5.7,,,,,
